achartengine-1.2.0,org/achartengine
com.melnykov.floatingactionbutton.1.0.5,com/melnykov/fab
com.melnykov.floatingactionbutton.1.1.0,com/melnykov/fab
com.melnykov.floatingactionbutton.1.3.0,com/melnykov/fab
com.mikepenz.aboutlibraries.5.1.1,com/mikepenz/aboutlibraries
com.mikepenz.aboutlibraries.5.5.0,com/mikepenz/aboutlibraries
com.mikepenz.aboutlibraries.5.6.5,com/mikepenz/aboutlibraries
com.mikepenz.community-material-typeface.1.5.54.1,com/mikepenz/community_material_typeface_library
com.mikepenz.fastadapter.1.0.0,com/mikepenz/fastadapter
com.mikepenz.fastadapter.1.4.1,com/mikepenz/fastadapter
com.mikepenz.fontawesome-typeface.4.4.0.1,com/mikepenz/fontawesome_typeface_library
com.mikepenz.fontawesome-typeface.4.6.0.1,com/mikepenz/fontawesome_typeface_library
com.mikepenz.google-material-typeface.1.2.0.1,com/mikepenz/google_material_typeface_library
com.mikepenz.google-material-typeface.2.2.0.1.original,com/mikepenz/google_material_typeface_library
com.mikepenz.iconics.1.2.0,com/mikepenz
com.mikepenz.iconics-core.1.7.8,com/mikepenz/iconics
com.mikepenz.iconics-core.2.5.11,com/mikepenz/iconics
com.mikepenz.iconics-core.2.5.5,com/mikepenz/iconics
com.mikepenz.material-design-iconic-typeface.2.2.0.1,com/mikepenz/material_design_iconic_typeface_library
com.mikepenz.materialdrawer.3.1.2,com/mikepenz/materialdrawer
com.mikepenz.materialdrawer.4.3.7,com/mikepenz/materialdrawer
com.mikepenz.materialize.0.2.6,com/mikepenz/materialize
com.mikepenz.octicons-typeface.3.0.0.1,com/mikepenz/octicons_typeface_library
com.nhaarman.listviewanimations.lib-core.3.1.0,com/nhaarman/listviewanimations
com.nispok.snackbar.2.10.2,com/nispok/snackbar
com.nononsenseapps.filepicker.2.0.5,com/nononsenseapps/filepicker
com.nononsenseapps.filepicker.2.5.0,com/nononsenseapps/filepicker
com.pnikosis.materialish-progress.1.5,com/pnikosis/materialishprogress
com.pnikosis.materialish-progress.1.7,com/pnikosis/materialishprogress
com.shamanland.fab.0.0.5,com/shamanland/fab
com.theartofdev.edmodo.android-image-cropper.2.1.3,com/theartofdev/edmodo/cropper
com.viewpagerindicator.library.2.4.1,com/viewpagerindicator
